county_code,new_timeperiod,lending_club_available,bankruptcy_per_capita,log_bankruptcy,population_estimation,employed_individuals,monthly_earnings,labor_force,medianhouseholdincome,prosper_available,relative_time_m8andbeyond,relative_time_m7,relative_time_m6,relative_time_m5,relative_time_m4,relative_time_m3,relative_time_m2,relative_time_m1,relative_time_0,relative_time_p1,relative_time_p2,relative_time_p3,relative_time_p4,relative_time_p5,relative_time_p6,relative_time_p7,relative_time_p8andbeyond,cem_strata,cem_weights,nonbusiness_bankruptcy_percapita,business_bankruptcy_percapita,lc_available_internet_score,internet_access_score
16011,28,0,.55304843,3.2580965,45.203999,12.504,3.0220001,22.108,47.292,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213,5.9354839,.55304843,0,0,3
16017,1,0,.31335872,2.6390574,41.486,12.618,2.5339999,20.417,41.630001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,.31335872,0,0,1
16017,2,0,.67492646,3.3672957,41.486,12.108,2.7019999,20.417,41.630001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,.65082198,.625,0,1
16017,3,0,.699031,3.4011974,41.486,12.451,2.849,20.417,41.630001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,.699031,0,0,1
16017,4,0,.86776263,3.6109178,41.486,11.792,2.885,20.417,41.630001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,.81955361,1.25,0,1
16017,5,0,.77289087,3.4965076,41.403,11.765,2.503,20.958,41.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,.70043236,1.986755,0,1
16017,6,0,1.1110306,3.8501475,41.403,11.413,2.7620001,20.958,41.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,1.1110306,0,0,1
16017,7,0,1.0627249,3.8066626,41.403,11.883,2.9200001,20.958,41.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,1.0385721,.66225165,0,1
16017,8,0,.91780788,3.6635616,41.403,11.49,2.9330001,20.958,41.27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,.91780788,0,0,1
16017,9,0,.78207099,3.4965076,40.917,11.473,2.3770001,19.493999,40.118999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,.59354836,.73319161,1.3623978,0,2
